"Subject","Session","Condition","PP","HR","BR","D.EDA","D.HR","N.EDA","N.HR"
"T166","DualTask","BL",1,1,1,0,0,0,0
"T166","Presentation","BL",1,1,1,0,0,0,0
"T172","RestingBaseline","BL",1,1,1,0,0,0,0
"T172","BaselineWriting","BL",1,1,1,0,0,0,0
"T172","StressCondition","BL",1,1,1,0,0,0,0
"T172","DualTask","BL",1,1,1,0,0,0,0
"T172","Presentation","BL",1,1,1,0,0,0,0
"T173","RestingBaseline","BL",1,1,1,0,0,0,0
"T173","BaselineWriting","BL",1,1,1,0,0,0,0
"T173","StressCondition","BL",1,1,1,0,0,0,0
"T173","DualTask","BL",1,1,1,0,0,0,0
"T175","RestingBaseline","BL",1,1,1,0,0,1,1
"T175","BaselineWriting","BL",1,1,1,0,0,1,1
"T175","StressCondition","BL",1,1,1,0,0,1,1
"T175","DualTask","BL",1,1,1,0,0,1,1
"T175","Presentation","BL",1,1,1,0,0,1,1
"T176","RestingBaseline","BL",1,1,1,0,0,1,1
"T176","BaselineWriting","BL",1,1,1,0,0,1,1
"T176","StressCondition","BL",1,1,1,0,0,1,1
"T176","DualTask","BL",1,1,-1,0,0,1,1
"T176","Presentation","BL",1,-1,1,0,0,1,1
"T178","RestingBaseline","BL",1,-1,1,0,0,1,1
"T178","BaselineWriting","BL",1,-1,1,0,0,1,1
"T178","StressCondition","BL",1,-1,1,0,0,1,1
"T178","DualTask","BL",1,-1,1,0,0,1,1
"T178","Presentation","BL",1,-1,1,0,0,1,1
